time	V(y)	V(z)
0.000000000000000e+00	1.800000e+00	3.998704e-09
4.000000000000000e-20	1.692122e+00	4.360601e-09
7.657142857142861e-19	1.692233e+00	4.360211e-09
1.491428571428572e-18	1.692316e+00	4.359921e-09
2.217142857142858e-18	1.692370e+00	4.359732e-09
2.942857142857145e-18	1.692395e+00	4.359643e-09
3.668571428571431e-18	1.692392e+00	4.359654e-09
4.394285714285716e-18	1.692360e+00	4.359766e-09
5.120000000000000e-18	1.692300e+00	4.359978e-09
5.553520640000001e-12	1.692300e+00	4.359978e-09
5.556142080000000e-12	1.683462e+00	4.392295e-09
5.558108160000000e-12	1.638566e+00	4.565717e-09
5.560729600000000e-12	1.603268e+00	4.711638e-09
5.565972480000000e-12	1.568317e+00	4.865905e-09
5.576458240000000e-12	1.532465e+00	5.034885e-09
5.597429760000000e-12	1.496455e+00	5.216814e-09
5.639372800000000e-12	1.460534e+00	5.411890e-09
5.723258880000000e-12	1.424665e+00	5.621823e-09
5.891031040000000e-12	1.388803e+00	5.848646e-09
6.226575360000000e-12	1.352941e+00	6.094545e-09
6.897664000000001e-12	1.317033e+00	-8.696988e-09
8.239841280000002e-12	1.281904e+00	1.674773e-04
1.092419584000000e-11	1.245826e+00	1.575632e-03
1.629290496000000e-11	1.204246e+00	5.227085e-03
2.000000000000000e-11	1.181621e+00	8.271709e-03
2.741419007999999e-11	1.165750e+00	1.091832e-02
4.224257023999999e-11	1.137056e+00	1.689427e-02
6.224257024000000e-11	1.099626e+00	2.740942e-02
8.224257024000001e-11	1.062802e+00	4.151064e-02
1.022425702400000e-10	1.026719e+00	6.013452e-02
1.222425702400000e-10	9.914368e-01	8.478177e-02
1.422425702400000e-10	9.571337e-01	1.180416e-01
1.622425702400000e-10	9.240136e-01	1.657599e-01
1.822425702400000e-10	8.922755e-01	2.477158e-01
1.847425702400000e-10	8.884225e-01	2.643479e-01
1.897425702400000e-10	8.807756e-01	3.144909e-01
1.909925702400000e-10	8.788819e-01	3.378889e-01
1.913831952400000e-10	8.782910e-01	3.494191e-01
1.915785077400000e-10	8.779956e-01	3.577316e-01
1.917152264900000e-10	8.777890e-01	3.670631e-01
1.917227795905860e-10	8.777776e-01	3.672850e-01
1.917303326911719e-10	8.777661e-01	3.679081e-01
1.917378857917579e-10	8.777547e-01	3.689322e-01
1.917454388923438e-10	8.777433e-01	3.703574e-01
1.917529919929298e-10	8.777319e-01	3.721837e-01
1.917605450935157e-10	8.777205e-01	3.744111e-01
1.917680981941016e-10	8.777091e-01	3.770396e-01
1.917683008498939e-10	8.777088e-01	3.776146e-01
1.917683056182654e-10	8.777088e-01	5.123955e-01
1.917683091945441e-10	8.777087e-01	1.183644e+00
1.917683139629157e-10	8.777087e-01	1.380448e+00
1.918576014440534e-10	8.775738e-01	1.390724e+00
1.919468889251911e-10	8.774390e-01	1.399371e+00
1.920361764063288e-10	8.773042e-01	1.406387e+00
1.921254638874664e-10	8.771694e-01	1.411774e+00
1.922147513686041e-10	8.770346e-01	1.415530e+00
1.923040388497418e-10	8.768999e-01	1.417656e+00
1.923933263308795e-10	8.767653e-01	1.418152e+00
