time	V(d)	V(nc0)	V(nc1)	V(nc2)	V(nc3)	V(vdd)	V(y)	V(z)	V(n001)	V(n002)	V(n003)	V(n004)	I(C0)	I(C1)	I(C2)	I(C3)
0.000000000000000e+00	0.000000e+00	1.800000e+00	1.800000e+00	1.800000e+00	1.800000e+00	1.800000e+00	1.800000e+00	4.998462e-09	1.800000e+00	1.800000e+00	1.800000e+00	1.800000e+00	3.600000e-26	7.200000e-26	1.440000e-25	2.880000e-25
4.000000000000000e-20	3.600000e-09	1.800000e+00	1.800000e+00	1.800000e+00	1.800000e+00	1.800000e+00	1.692122e+00	5.450751e-09	1.800000e+00	1.800000e+00	1.800000e+00	1.800000e+00	0.000000e+00	-4.656613e-10	0.000000e+00	-1.862645e-09
7.657142857142861e-19	6.891429e-08	1.800000e+00	1.800000e+00	1.800000e+00	1.800000e+00	1.800000e+00	1.692233e+00	5.450264e-09	1.800000e+00	1.800000e+00	1.800000e+00	1.800000e+00	0.000000e+00	-2.003272e-10	1.277720e-11	-8.138326e-10
1.491428571428572e-18	1.342286e-07	1.800000e+00	1.800000e+00	1.800000e+00	1.800000e+00	1.800000e+00	1.692316e+00	5.449902e-09	1.800000e+00	1.800000e+00	1.800000e+00	1.800000e+00	0.000000e+00	-1.609912e-12	2.060238e-11	-2.592679e-11
2.217142857142858e-18	1.995429e-07	1.800000e+00	1.800000e+00	1.800000e+00	1.800000e+00	1.800000e+00	1.692370e+00	5.449665e-09	1.800000e+00	1.800000e+00	1.800000e+00	1.800000e+00	0.000000e+00	1.304905e-10	2.347555e-11	5.010722e-10
2.942857142857145e-18	2.648572e-07	1.800000e+00	1.800000e+00	1.800000e+00	1.800000e+00	1.800000e+00	1.692395e+00	5.449554e-09	1.800000e+00	1.800000e+00	1.800000e+00	1.800000e+00	0.000000e+00	1.959742e-10	2.139671e-11	7.671643e-10
3.668571428571431e-18	3.301714e-07	1.800000e+00	1.800000e+00	1.800000e+00	1.800000e+00	1.800000e+00	1.692392e+00	5.449568e-09	1.800000e+00	1.800000e+00	1.800000e+00	1.800000e+00	0.000000e+00	1.948409e-10	1.436585e-11	7.723497e-10
4.394285714285716e-18	3.954857e-07	1.800000e+00	1.800000e+00	1.800000e+00	1.800000e+00	1.800000e+00	1.692360e+00	5.449707e-09	1.800000e+00	1.800000e+00	1.800000e+00	1.800000e+00	0.000000e+00	1.270909e-10	2.382973e-12	5.166283e-10
5.120000000000000e-18	4.608000e-07	1.800000e+00	1.800000e+00	1.800000e+00	1.800000e+00	1.800000e+00	1.692300e+00	5.449972e-09	1.800000e+00	1.800000e+00	1.800000e+00	1.800000e+00	0.000000e+00	-7.275958e-12	-1.455192e-11	0.000000e+00
5.553520640000001e-12	4.998169e-01	1.800000e+00	1.800000e+00	1.800000e+00	1.800000e+00	1.800000e+00	1.692300e+00	5.449972e-09	1.800000e+00	1.800000e+00	1.800000e+00	1.800000e+00	-8.419931e-13	-8.597567e-13	-8.526513e-13	-8.242296e-13
