Run,Vw0,Vw1,Vw2,Vw3,Weight Code,Effective C (fF),t_inv (s),t_inv (ns)
0,0,0,0,0,0,0,1.83E-10,0.183
1,1.8,0,0,0,1,20,1.87E-10,0.187
2,0,1.8,0,0,2,40,1.86E-10,0.186
3,1.8,1.8,0,0,3,60,1.90E-10,0.190
4,0,0,1.8,0,4,80,1.85E-10,0.185
5,1.8,0,1.8,0,5,100,1.92E-10,0.192
6,0,1.8,1.8,0,6,120,1.88E-10,0.188
7,1.8,1.8,1.8,0,7,140,1.93E-10,0.193
8,0,0,0,1.8,8,160,1.85E-10,0.185
9,1.8,0,0,1.8,9,180,1.89E-10,0.189
10,0,1.8,0,1.8,10,200,1.88E-10,0.188
11,1.8,1.8,0,1.8,11,220,1.92E-10,0.192
12,0,0,1.8,1.8,12,240,1.87E-10,0.187
13,1.8,0,1.8,1.8,13,260,1.92E-10,0.192
14,0,1.8,1.8,1.8,14,280,1.92E-10,0.192
15,1.8,1.8,1.8,1.8,15,300,1.95E-10,0.195
